image channels: 3
Y: 100
X 100
Pixel value: 
[0 , 0][116 134 225],
[0 , 1][115 133 224],
[0 , 2][113 131 222],
[0 , 3][109 130 226],
[0 , 4][108 129 228],
[0 , 5][108 129 228],
[0 , 6][110 133 226],
[0 , 7][111 135 225],
[0 , 8][114 138 228],
[0 , 9][112 139 228],
[0 , 10][108 139 228],
[0 , 11][110 139 228],
[0 , 12][109 145 236],
[0 , 13][112 150 243],
[0 , 14][120 148 242],
[0 , 15][113 135 236],
[0 , 16][102 122 236],
[0 , 17][93 105 221],
[0 , 18][76 75 189],
[0 , 19][75 59 163],
[0 , 20][71 56 161],
[0 , 21][71 56 161],
[0 , 22][73 58 163],
[0 , 23][71 56 161],
[0 , 24][73 58 163],
[0 , 25][73 63 167],
[0 , 26][77 68 172],
[0 , 27][77 68 172],
[0 , 28][81 67 172],
[0 , 29][81 66 171],
[0 , 30][79 64 169],
[0 , 31][79 64 169],
[0 , 32][79 64 169],
[0 , 33][79 64 169],
[0 , 34][81 66 171],
[0 , 35][82 67 172],
[0 , 36][84 68 173],
[0 , 37][86 74 179],
[0 , 38][85 76 180],
[0 , 39][84 75 179],
[0 , 40][83 74 178],
[0 , 41][83 74 178],
[0 , 42][83 74 178],
[0 , 43][82 73 177],
[0 , 44][80 71 175],
[0 , 45][80 71 175],
[0 , 46][80 71 175],
[0 , 47][77 66 176],
[0 , 48][78 67 178],
[0 , 49][81 69 179],
[0 , 50][83 69 174],
[0 , 51][80 65 169],
[0 , 52][80 65 170],
[0 , 53][82 67 172],
[0 , 54][87 72 177],
[0 , 55][84 69 175],
[0 , 56][81 63 162],
[0 , 57][77 58 154],
[0 , 58][68 50 147],
[0 , 59][72 47 142],
[0 , 60][81 49 142],
[0 , 61][82 51 143],
[0 , 62][83 54 150],
[0 , 63][77 49 149],
[0 , 64][75 47 146],
[0 , 65][73 46 143],
[0 , 66][67 42 134],
[0 , 67][62 38 131],
[0 , 68][56 29 117],
[0 , 69][61 29 105],
[0 , 70][59 28 104],
[0 , 71][59 26 104],
[0 , 72][63 24 100],
[0 , 73][61 22 97],
[0 , 74][63 23 98],
[0 , 75][67 20 96],
[0 , 76][66 25 100],
[0 , 77][94 62 137],
[0 , 78][135 117 169],
[0 , 79][137 121 168],
[0 , 80][128 110 163],
[0 , 81][90 57 124],
[0 , 82][52 13 84],
[0 , 83][45 7 78],
[0 , 84][49 8 75],
[0 , 85][49 5 67],
[0 , 86][48 4 66],
[0 , 87][51 6 72],
[0 , 88][57 10 81],
[0 , 89][57 11 82],
[0 , 90][53 9 76],
[0 , 91][43 10 70],
[0 , 92][53 25 94],
[0 , 93][83 62 136],
[0 , 94][78 62 134],
[0 , 95][68 42 116],
[0 , 96][60 26 100],
[0 , 97][67 31 97],
[0 , 98][62 26 92],
[0 , 99][60 24 90],


[1 , 0][118 136 227],
[1 , 1][115 133 224],
[1 , 2][113 131 222],
[1 , 3][109 129 226],
[1 , 4][108 129 229],
[1 , 5][109 130 229],
[1 , 6][110 134 226],
[1 , 7][111 135 225],
[1 , 8][113 137 227],
[1 , 9][110 137 227],
[1 , 10][109 140 228],
[1 , 11][116 146 234],
[1 , 12][117 148 243],
[1 , 13][114 142 245],
[1 , 14][114 132 236],
[1 , 15][107 119 224],
[1 , 16][87 95 203],
[1 , 17][65 63 173],
[1 , 18][62 51 160],
[1 , 19][71 55 160],
[1 , 20][74 59 164],
[1 , 21][74 59 164],
[1 , 22][73 58 163],
[1 , 23][72 57 162],
[1 , 24][74 59 164],
[1 , 25][74 64 168],
[1 , 26][77 68 172],
[1 , 27][77 68 172],
[1 , 28][81 67 172],
[1 , 29][81 66 171],
[1 , 30][79 64 169],
[1 , 31][78 63 168],
[1 , 32][78 63 168],
[1 , 33][79 64 169],
[1 , 34][81 66 171],
[1 , 35][82 67 172],
[1 , 36][84 69 174],
[1 , 37][85 73 177],
[1 , 38][82 73 177],
[1 , 39][83 74 178],
[1 , 40][83 74 178],
[1 , 41][82 73 177],
[1 , 42][83 74 178],
[1 , 43][82 73 177],
[1 , 44][80 71 175],
[1 , 45][80 71 174],
[1 , 46][79 70 174],
[1 , 47][77 66 176],
[1 , 48][79 68 178],
[1 , 49][82 70 180],
[1 , 50][83 68 173],
[1 , 51][78 63 168],
[1 , 52][77 62 167],
[1 , 53][82 67 172],
[1 , 54][86 71 176],
[1 , 55][80 65 170],
[1 , 56][79 61 160],
[1 , 57][75 56 152],
[1 , 58][64 46 143],
[1 , 59][69 44 139],
[1 , 60][77 45 138],
[1 , 61][78 47 139],
[1 , 62][78 49 145],
[1 , 63][73 45 145],
[1 , 64][71 43 142],
[1 , 65][70 43 140],
[1 , 66][67 42 134],
[1 , 67][60 35 127],
[1 , 68][58 30 121],
[1 , 69][62 27 113],
[1 , 70][60 26 112],
[1 , 71][58 24 108],
[1 , 72][62 24 99],
[1 , 73][61 22 96],
[1 , 74][62 22 97],
[1 , 75][66 19 95],
[1 , 76][66 25 100],
[1 , 77][76 45 119],
[1 , 78][117 96 157],
[1 , 79][146 129 180],
[1 , 80][148 133 177],
[1 , 81][136 113 165],
[1 , 82][107 79 135],
[1 , 83][84 58 113],
[1 , 84][76 46 101],
[1 , 85][71 37 92],
[1 , 86][65 31 86],
[1 , 87][61 26 84],
[1 , 88][54 17 79],
[1 , 89][50 14 75],
[1 , 90][49 11 76],
[1 , 91][41 4 77],
[1 , 92][54 21 104],
[1 , 93][79 56 138],
[1 , 94][96 83 146],
[1 , 95][106 83 148],
[1 , 96][85 53 120],
[1 , 97][73 37 103],
[1 , 98][65 28 94],
[1 , 99][63 27 93],


[2 , 0][119 136 227],
[2 , 1][113 131 222],
[2 , 2][113 131 222],
[2 , 3][109 129 226],
[2 , 4][109 130 229],
[2 , 5][111 132 231],
[2 , 6][111 134 226],
[2 , 7][111 135 225],
[2 , 8][115 138 228],
[2 , 9][115 142 231],
[2 , 10][114 145 233],
[2 , 11][115 146 232],
[2 , 12][108 133 234],
[2 , 13][103 117 232],
[2 , 14][95 101 216],
[2 , 15][77 75 188],
[2 , 16][66 57 158],
[2 , 17][69 50 154],
[2 , 18][79 57 161],
[2 , 19][73 58 163],
[2 , 20][73 58 163],
[2 , 21][73 58 163],
[2 , 22][73 58 163],
[2 , 23][74 59 164],
[2 , 24][76 62 167],
[2 , 25][77 68 172],
[2 , 26][77 68 172],
[2 , 27][77 68 172],
[2 , 28][81 67 172],
[2 , 29][81 66 171],
[2 , 30][79 64 169],
[2 , 31][77 62 167],
[2 , 32][76 61 166],
[2 , 33][79 64 169],
[2 , 34][81 66 171],
[2 , 35][82 67 172],
[2 , 36][82 66 171],
[2 , 37][81 68 173],
[2 , 38][80 71 175],
[2 , 39][80 71 175],
[2 , 40][80 71 175],
[2 , 41][80 71 175],
[2 , 42][80 71 175],
[2 , 43][80 71 175],
[2 , 44][80 71 175],
[2 , 45][79 70 173],
[2 , 46][77 68 172],
[2 , 47][77 66 176],
[2 , 48][78 68 178],
[2 , 49][81 69 179],
[2 , 50][81 66 171],
[2 , 51][76 61 166],
[2 , 52][76 61 166],
[2 , 53][78 63 168],
[2 , 54][78 63 169],
[2 , 55][72 57 163],
[2 , 56][71 53 152],
[2 , 57][67 48 144],
[2 , 58][62 44 142],
[2 , 59][69 44 139],
[2 , 60][76 44 137],
[2 , 61][75 44 137],
[2 , 62][72 43 139],
[2 , 63][70 42 141],
[2 , 64][72 44 144],
[2 , 65][74 46 143],
[2 , 66][67 42 134],
[2 , 67][64 39 131],
[2 , 68][62 34 127],
[2 , 69][69 30 125],
[2 , 70][64 27 122],
[2 , 71][56 18 111],
[2 , 72][59 21 96],
[2 , 73][59 20 93],
[2 , 74][59 18 93],
[2 , 75][62 15 90],
[2 , 76][57 17 91],
[2 , 77][59 27 101],
[2 , 78][82 57 129],
[2 , 79][128 109 165],
[2 , 80][150 139 172],
[2 , 81][158 147 178],
[2 , 82][163 152 186],
[2 , 83][161 151 184],
[2 , 84][159 143 181],
[2 , 85][157 134 179],
[2 , 86][150 129 172],
[2 , 87][142 119 166],
[2 , 88][130 106 157],
[2 , 89][119 95 146],
[2 , 90][118 91 141],
[2 , 91][113 82 132],
[2 , 92][106 80 140],
[2 , 93][109 92 155],
[2 , 94][120 109 166],
[2 , 95][119 98 156],
[2 , 96][109 79 139],
[2 , 97][94 57 123],
[2 , 98][82 44 112],
[2 , 99][75 37 104],


[3 , 0][110 132 222],
[3 , 1][109 131 221],
[3 , 2][109 132 222],
[3 , 3][108 131 223],
[3 , 4][109 132 225],
[3 , 5][111 134 226],
